"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bolivia","BOL","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","50900000","102600000","99200000","125000000","145700000","204900000","318200000","450300000","610300000","727700000","749500000","709200000","775700000","627600000","890500000","1102970000","1333991588.22","1566203978.05","1774000000","2007900402.01","2810887455.95","2142386179.88","","","","","","","","","","","","","","","","",
"Brazil","BRA","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272272361551.952","331325492111.365","331064484972.352","366718535108.874","426054022622.893","700214592283.122","606915994714.082","573634429077.099","598126985546.249","511686548962.994","423749907839.8","589622884185.152","772031424247.286","856763907722.394",
"Barbados","BRB","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274300000","271700000","295102387.91","324803617.87","388975598","394830315","430316130","488499084","527213136","565047575","597934271","644966516","663885280","736152386","","","","","","","",
"Brunei Darussalam","BRN","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","600000","1000000","","","","700000","18400000","41300000","33400000","59500000","62400000","217800000","199200000","205500000","201800000","103000000","84300000","80200000","77800000","115754000","168887000","220264000","405447000","382117000","443294000","1719236000","1733832000","1743182000","1794047000","1886035000","2642474000","2090487312","2024940000","2109083000","1998714655.86","2149899733.18","1609266000","831631160.94","","","",
"Botswana","BWA","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52320000","60700000","68000000","78700000","84500000","91600000","91400000","","","","","","","","","","235520000","248440000","282080000","369820000","523540000","586570000","671980000","687470000","701700000","826750000","877830000","989520000","1090900000","1204170000","1187830000","1163770000","1615180000","",
"Central African Republic","CAF","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5549943594","","","","10622359022.6276","10832508806.6431","9511550000","6983069494.86775","5923666208","","2169768917","4697812519.682","1155630000","2205000000","2801230000","6482000000","3827332679.15509","8419407220","","",
"Canada","CAN","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42144000000","41311000000","39796000000","39489000000","40425000000","46579000000","45667000000","43735000000","44250000000","44028000000","45626000000","42172000000","37108000000","35527000000","33808000000","32467000000","32529000000","31932000000","30645000000","27703000000","28280000000","28870000000","27334000000","27290000000","25214000000","23812000000","22543000000","22130000000","24652000000","25824000000","23332000000","25123000000","31462000000","43016000000",
"Central Europe and the Baltics","CEB","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","318000000","360000000","435000000","568000000","585000000","801000000","790000000","797000000","881000000","1033000000","1027000000","1002000000","980000000","","","","","","1828620484.74","2035543474.16","2564142293.68","2594425892.58","3292415025.12","3294495952.13","3034232612.1","3200879624.46","3487110793.49","3713727769.1","3654618192.77","3537367995.71","3492259908.55","3093247318.42","3162391174.18","3599750181.45","4057142398.61","3738570139.96","3462083988.82","3043314153.91","2880559072.3","2656213802.65","2404826996.29","2144872725.84","2007249893.85","1925383864.45","1703956531.48","1448928801.71","1190327302.75","1090158745.86","945545440.1","816346643.89","926445954.08","",
